location,company,Data,Pay,
경기," 자라리테일코리아",시간협의,"연봉24,000,000",06/18
서울," 길동우동 사가정점",시간협의,"월급2,500,000",06/12
경기," 박앤박 혼밥대왕 서울문정점",17:30~24:00,"시급10,000",06/19
서울," 박앤박 혼밥대왕 서울문정점",시간협의,"시급10,000",06/19
서울," 박앤박 혼밥대왕 보문점",08:00~15:00,"시급8,720",6시간전
서울," 박앤박 혼밥대왕 논현점",시간협의,"시급11,000",1시간전
서울," 박앤박 혼밥대왕 서울마곡점",시간협의,"시급10,000",6시간전
경기," 마시모두띠코리아",시간협의,"연봉24,000,000",06/21
서울," 박앤박 혼밥대왕 건대점",22:00~10:00,"시급11,000",06/26
대전," 박앤박 혼밥대왕 대전가양점",시간협의,"시급8,720",6시간전
경기," 박앤박 비돈이제돈이 의정부점",10:00~22:00,"월급2,300,000",5시간전
경기," 박앤박 비돈이제돈이 의정부점",10:00~22:00,"월급2,300,000",4시간전
서울," 박앤박 혼밥대왕 서울문정점",17:30~24:00,"시급10,000",06/19
서울," 박앤박 혼밥대왕 서울문정점",17:30~24:00,"시급10,000",06/18
경기," 박앤박 혼밥대왕 화성남양점",시간협의,"시급9,000",06/11
서울," (주)지오다노",시간협의,"시급8,720",2시간전
인천," 박앤박 혼밥대왕 인천송도점",시간협의,"월급2,800,000",06/18
경기," 박앤박 비돈이제돈이 의정부점",10:00~22:00,"월급1,820,000",06/18
경기," 박앤박 비돈이제돈이 의정부점",시간협의,"월급2,700,000",06/17
서울," 박앤박 혼밥대왕 홍대점",22:00~10:00,"시급10,000",06/16
경기," 박앤박 비돈이제돈이 의정부점",시간협의,"월급2,700,000",06/16
서울," 박앤박 혼밥대왕 논현점",시간협의,"시급11,000",6시간전
경기," 박앤박 혼밥대왕 하남점",10:00~22:00,"월급2,300,000",06/14
경기," 박앤박 혼밥대왕 의정부점",22:00~10:00,"시급9,500",06/14
서울," 길동우동 경희대점",시간협의,"월급2,500,000",06/12
경기," (주)지오다노",시간협의,"연봉21,876,000",3시간전
경기," 박앤박 쭈블링 하남점",10:00~10:00,"월급2,850,000",06/14
서울," 박앤박 혼밥대왕 논현점",시간협의,"시급11,000",7시간전
경기," 박앤박 쭈블링 하남점",10:00~10:00,"월급2,850,000",06/14
제주," 박앤박 혼밥대왕 신제주점",16:00~02:00,"월급2,400,000",06/25
경기," 박앤박 쭈블링 하남점",10:00~10:00,"월급2,850,000",06/14
제주," 박앤박 혼밥대왕 신제주점",23:00~08:00,"월급2,500,000",06/25
서울," 박앤박 비돈이제돈이 건대점",시간협의,"시급10,000",06/11
제주," 박앤박 혼밥대왕 신제주점",05:00~14:00,"월급2,400,000",06/25
대구," (주)지오다노",10:30~19:30,"월급1,800,000",39분전
경기," 박앤박 혼밥대왕 하남점",10:00~22:00,"월급2,700,000",06/14
서울," 박앤박 혼밥대왕 홍대점",22:00~10:00,"시급10,000",06/20
경기," 박앤박 쭈블링 하남점",10:00~10:00,"월급2,850,000",06/13
서울," 박앤박 혼밥대왕 홍대점",22:00~10:00,"시급10,000",06/20
서울," (주)지오다노",시간협의,"시급8,720",2시간전
서울," 박앤박 혼밥대왕 홍대점",22:00~10:00,"시급10,000",06/20
경기," (주)지오다노",시간협의,"연봉21,876,000",2시간전
인천," 박앤박 혼밥대왕 인천검단점",11:00~23:00,"월급2,700,000",8시간전
서울," 박앤박 쭈블링 건대점",시간협의,"시급10,000",06/12
서울," (주)지오다노",09:30~22:00,"시급8,720",06/22
서울," 박앤박 쭈블링 건대점",시간협의,"시급10,000",06/12
인천," 박앤박 혼밥대왕 인천검단점",11:00~23:00,"월급2,700,000",2시간전
경기," (주)지오다노",시간협의,"연봉21,876,000",4시간전
경기," (주)지오다노",시간협의,"연봉21,876,000",5시간전
서울," 박앤박 혼밥대왕 건대점",22:00~10:00,"시급11,000",8시간전
경기," (주)지오다노",시간협의,"연봉21,876,000",12시간전
전국," (주)지오다노",13:00~22:00,"시급8,720",06/26
서울," 박앤박 혼밥대왕 논현점",시간협의,"시급11,000",1시간전
경기," 지오다노 가든5현대몰",시간협의,"연봉21,876,000",06/25
충북," 박앤박 혼밥대왕 증평점",17:00~22:00,"시급8,720",13시간전
울산," (주)메가마트 언양점",09:00~17:30,"시급8,720",16시간전
세종," (주)지오다노",09:30~22:00,"시급8,720",06/22
인천," 박앤박 혼밥대왕 인천송도점",시간협의,"월급2,800,000",06/20
서울," (주)지오다노",09:30~22:00,"시급8,720",06/22
경기," (주)지오다노",10:00~21:00,"시급8,720",06/22
서울," (주)지오다노",09:30~22:00,"시급8,720",06/22
경기," (주)지오다노",09:30~22:00,"시급8,720",06/22
경기," GS25 GS25분당창인점",19:00~23:00,"시급8,720",1분전
경기," (주)지오다노",10:00~21:00,"시급8,720",06/22
경기," (주)지오다노",09:30~18:30,"월급1,923,000",06/19
경기," 지오다노 가든5현대몰",시간협의,"연봉21,876,000",06/25
제주," (주)지오다노",10:00~21:00,"시급8,720",06/22
서울," 지오다노 가든5현대몰",시간협의,"연봉21,876,000",06/25
서울," (주)지오다노",09:00~22:00,"시급8,720",06/22
전북," GS25여의만남점",시간협의,"시급8,720",5분전
경기," GS25 GS25분당창인점",17:00~23:00,"시급8,720",1분전
경기," (주)지오다노",09:30~18:30,"월급1,923,000",06/19
경기," GS25의정중앙로점",13:00~18:00,"시급8,720",3분전
서울," GS25상봉주한점",23:00~08:00,"시급8,720",4분전
강원," GS25오크밸리스키점",시간협의,"시급8,720",4분전
부산," GS25신평공단점",시간협의,"시급8,720",4분전
경남," GS25김해대동점",22:00~09:00,"시급8,720",4분전
부산," GS25광안역점",00:00~06:00,"시급8,720",4분전
경기," 주식회사 케이컴퍼니",10:00~20:00,"월급1,900,000",06/22
세종," GS25연기행복점",06:30~12:00,"시급8,720",6분전
경남," GS25고성다이노스점",16:00~21:00,"시급8,720",5분전
경기," (주)지오다노",12:00~21:00,"시급10,000",06/15
경기," 카페마운틴",11:00~18:30,"시급8,720",2시간전
경남," 메가마트 덕계점",시간협의,"시급8,720",4시간전
서울," 박앤박 혼밥대왕 건대점",22:00~10:00,"시급11,000",06/26
경북," 주식회사 케이컴퍼니",시간협의,"월급1,900,000",06/15
세종," 주식회사 케이컴퍼니",시간협의,"월급1,900,000",06/14
서울," 주식회사 케이컴퍼니",10:00~20:00,"월급1,900,000",06/14
인천," 박앤박 혼밥대왕 인천송도점",시간협의,"월급2,800,000",06/20
부산," 메가마켓 마리나점",시간협의,"시급8,720",5시간전
경기," 카페마운틴",시간협의,"월급1,877,143",12시간전
경기," 주식회사 케이컴퍼니",10:00~20:00,"월급1,900,000",06/13
서울," GS25면목샘터점",24:00~07:00,"시급8,720",5분전
경기," 주식회사 케이컴퍼니",10:00~20:00,"월급1,900,000",06/13
충남," GS25서산그린점",16:00~22:00,"시급8,720",5분전
서울," 박앤박 쭈블링 건대점",시간협의,"시급10,000",06/11
서울," 박앤박 혼밥대왕 건대점",22:00~10:00,"시급11,000",06/26
경기," GS25 용인남동점",23:00~08:00,"시급8,720",5분전
서울," (주)지오다노",시간협의,"시급8,720",06/22
경기," (주)지오다노",12:00~21:00,"시급10,000",06/24
경기," 주식회사 케이컴퍼니",10:00~20:00,"시급8,720",06/13
대구," GS25대명캠프점",09:00~16:00,"시급8,720",5분전
경북," GS25안동병원점",09:00~16:00,"시급8,720",11분전
서울," 이자녹스/비욘드/네이처컬렉션 NC 방",시간협의,"월급1,900,000",4시간전
경기," 주식회사 케이컴퍼니",10:00~20:00,"월급1,900,000",11시간전
경남," 메가마트 덕계점",시간협의,"시급8,720",06/24
경기," 주식회사 케이컴퍼니",10:00~20:00,"시급8,720",12시간전
대전," 주식회사 케이컴퍼니",12:00~20:00,"월급2,500,000",12시간전
경남," GS25고성다이노스점",16:00~21:00,"시급8,720",5분전
경기," (주)이마트 별내점",09:00~23:00,"시급10,940",10분전
서울," 메가마트후레쉬마켓방이점",시간협의,"시급8,720",06/22
충북," GS25산남부영점",16:00~23:00,"시급8,720",13분전
서울," (주)지오다노",09:00~22:00,"시급8,720",06/22
서울," GS25연신내연서점",23:00~08:00,"시급8,720",11분전
경기," GS25 용인남동점",23:00~08:00,"시급8,720",5분전
대구," GS25신서첨단로점",23:00~07:00,"시급8,720",12분전
서울," GS25 구로중앙유통점",10:30~16:00,"시급8,720",12분전
서울," GS25금천한빛점",18:00~23:00,"시급8,720",12분전
부산," GS25신평하남점",23:00~02:00,"시급8,720",10분전
서울," GS25중구SFC점",09:00~17:00,"시급8,720",9분전
경기," GS25 GS25운암타운점",23:00~06:00,"시급8,720",13분전
대구," GS25대구전자관점",19:00~24:00,"시급8,720",13분전
인천," GS25 GS25연수선학점",23:00~07:00,"시급8,720",13분전
광주," GS25각화글로벌점",23:00~07:00,"시급8,720",13분전
인천," GS25서창오드리점",15:00~22:30,"시급8,720",13분전
대구," GS25신서첨단로점",23:00~07:00,"시급8,720",13분전
경기," GS25팽성남산점",22:00~08:00,"시급8,720",13분전
서울," GS25개포소망점",22:00~08:00,"시급9,000",9분전
경기," GS25수지꽃메점",16:00~21:00,"시급8,720",12분전
경남," GS25김해두산위브점",07:00~14:00,"시급8,720",8분전
인천," GS25원창센터점",09:00~16:00,"시급8,720",6분전
경기," GS25의정중앙로점",07:00~13:00,"시급8,720",6분전
인천," GS25도화1동점",17:00~22:00,"시급8,720",11분전
인천," GS25송도SK뷰점",22:00~08:00,"시급8,720",12분전
